ET00000001~T000000001~27/4/18 2:38:24
ET00000002~T000000002~1/6/18 2:52:48
ET00000003~T000000003~19/9/17 3:7:12
ET00000004~T000000004~30/11/17 3:21:36
ET00000005~T000000005~29/7/18 3:36:0
ET00000001~T000000006~22/11/17 3:50:24
ET00000002~T000000007~3/5/18 4:4:48
ET00000003~T000000008~15/3/18 4:19:12
ET00000004~T000000009~21/12/17 4:33:36
ET00000005~T000000010~5/6/18 4:48:0
ET00000001~T000000011~4/7/17 5:2:24
ET00000002~T000000012~5/11/17 5:16:48
ET00000003~T000000013~25/8/18 5:31:12
ET00000004~T000000014~23/9/17 5:45:36
ET00000005~T000000015~29/9/18 6:0:0
ET00000001~T000000016~20/9/18 6:14:24
ET00000002~T000000017~24/2/18 6:28:48
ET00000003~T000000018~27/3/18 6:43:12
ET00000004~T000000019~6/7/18 6:57:36
ET00000005~T000000020~24/8/17 7:12:0
ET00000001~T000000021~18/6/18 7:26:24
ET00000002~T000000022~7/9/18 7:40:48
ET00000003~T000000023~20/10/17 7:55:12
ET00000004~T000000024~11/7/18 8:9:36
ET00000005~T000000025~29/10/17 8:24:0
ET00000001~T000000026~16/10/17 8:38:24
ET00000002~T000000027~6/1/18 8:52:48
ET00000003~T000000028~24/7/18 9:7:12
ET00000004~T000000029~22/6/17 9:21:36
ET00000005~T000000030~21/1/18 9:36:0
ET00000001~T000000031~18/7/17 9:50:24
ET00000002~T000000032~20/9/17 10:4:48
ET00000003~T000000033~26/7/18 10:19:12
ET00000004~T000000034~10/3/18 10:33:36
ET00000005~T000000035~8/7/17 10:48:0
ET00000001~T000000036~23/11/17 11:2:24
ET00000002~T000000037~7/10/17 11:16:48
ET00000003~T000000038~24/9/17 11:31:12
ET00000004~T000000039~14/2/18 11:45:36
ET00000005~T000000040~25/2/18 12:0:0
ET00000004~T000000041~27/2/18 12:14:24
ET00000005~T000000042~11/2/18 12:28:48
ET00000001~T000000043~9/8/17 12:43:12
ET00000002~T000000044~17/12/17 12:57:36
ET00000003~T000000045~12/8/18 13:12:0
ET00000004~T000000046~8/2/18 13:26:24
ET00000005~T000000047~2/12/17 13:40:48
ET00000001~T000000048~11/12/17 13:55:12
ET00000002~T000000049~23/2/18 14:9:36
ET00000003~T000000050~14/6/18 14:24:0
